ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"110.77.232.221","elite","AS131090","TH","CAT Telecom Public Company Limited","198","CAT BBviaOnnet","4145","socks4","42","1","2023-01-15T11:08:22.622Z","89","702","792"
"110.77.236.112","elite","AS131090","TH","CAT Telecom Public Company Limited","194","CAT BBviaOnnet","4153","socks4","42","1","2023-01-15T11:08:21.976Z","86","688","796"
"125.19.99.90","elite","AS9498","IN","Bharti Airtel","127","World Phone  PVT Ltd.","4145","socks4","42","1","2023-01-15T11:08:19.533Z","100","809","813"
"170.80.91.14","elite","AS264820","CR","Corebases S.A","157","Corebases S.A","4145","socks4","39","1","2023-01-15T11:08:18.919Z","98","801","815"
"36.90.167.71","elite","AS7713","ID","PT. Telekomunikasi Indonesia","176","Telekomunikasi Indonesia","5678","socks4","43","2","2023-01-15T11:08:14.156Z","76","606","800"
"199.247.21.21","elite","AS20473","DE","The Constant Company","10","Vultr Holdings LLC Frankfurt","8090","http","51","11","2023-01-15T11:08:12.766Z","100","817","817"
"45.112.125.56","elite","AS58369","ID","FIBERNET","164","N/A","4145","socks4","52","1","2023-01-15T11:08:12.096Z","99","752","757"
"125.162.57.178","elite","AS7713","ID","PT. TELKOM INDONESIA","164","N/A","4145","socks4","37","1","2023-01-15T11:08:11.735Z","91","730","802"
"120.26.68.107","elite","AS37963","CN","Addresses CNNIC","199","Aliyun Computing Co., LTD","80","socks4","40","1","2023-01-15T11:08:11.388Z","99","714","721"
"177.105.68.119","elite","AS262637","BR","Netprimus Tecnologia Ltda","185","Netprimus Tecnologia Ltda","4153","socks4","39","1","2023-01-15T11:08:10.957Z","100","809","812"
"14.207.117.32","elite","AS45629","TH","Triple T Broadband Public Company Limited","152","Triple T Broadband Public Company Limited","4153","socks4","43","1","2023-01-15T11:08:10.939Z","98","781","801"
"213.32.253.145","elite","AS206206","IQ","Kurdistan Net Company for Computer and Internet Ltd.","79","Exabyt","4145","socks4","44","1","2023-01-15T11:08:10.907Z","21","165","780"
"102.141.197.17","anonymous","AS328319","SO","Amtel LTD","136","AMTELKOM","8080","http","54","885","2023-01-15T11:08:10.531Z","99","717","723"
"188.255.244.37","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","37","Orion Telekom Tim d.o.o.Beograd","1080","socks4","56","1","2023-01-15T11:08:10.470Z","100","817","817"
"43.134.167.51","elite","AS132203","SG","Aceville Pte.ltd","323","N/A","443","socks5","56","1","2023-01-15T11:08:10.486Z","84","662","790"
"106.110.200.3","elite","AS4134","CN","Chinanet","207","Chinanet GD","57114","socks4","72","2","2023-01-15T11:08:08.483Z","93","716","773"
"181.233.49.146","anonymous","AS272094","EC","Optilink CIA Ltda","192","Optilink CIA Ltda","999","http","53","1383","2023-01-15T11:08:08.347Z","100","721","723"
"203.24.109.26","elite","AS209242","BZ","Cloudflare London","2","Umpire Associates LTD","80","socks4","71","1","2023-01-15T11:08:08.250Z","100","807","807"
"103.47.93.247","elite","AS134058","IN","Broban Internet Services Pvt.ltd","223","Broban  PVT Ltd.","1080","socks4","37","1","2023-01-15T11:08:08.164Z","100","817","818"
"51.68.123.217","elite","AS16276","FR","OVH SAS","5","OVH","7497","socks5","41","1","2023-01-15T11:08:08.518Z","100","805","805"
"81.174.11.159","elite","AS35612","IT","NGI","24","NGI S.p.A.","43516","socks4","53","1","2023-01-15T11:08:07.992Z","51","368","722"
"195.154.56.108","elite","AS12876","FR","Online SAS","1","N/A","57438","socks5","42","1","2023-01-15T11:08:07.887Z","62","493","790"
"212.108.144.67","anonymous","AS202254","CY","Lifecell Digital LTD","65","N/A","8080","http","73","3143","2023-01-15T11:08:07.343Z","100","837","839"
"103.59.203.161","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","191","NET 4 U Services PVT LTD","4145","socks4","149","1","2023-01-15T11:08:07.961Z","100","809","812"
"66.29.129.52","elite","AS22612","US","Namecheap, Inc.","133","Namecheap, Inc.","14924","socks4","47","1","2023-01-15T11:08:07.998Z","100","818","821"
"105.213.75.250","elite","AS16637","ZA","MTN SA","176","MTN SA","5678","socks4","87","1","2023-01-15T11:08:07.611Z","95","731","772"
"158.140.160.86","elite","AS63859","ID","MYREPUBLIC","198","N/A","10808","socks4","38","1","2023-01-15T11:08:06.965Z","98","777","791"
"189.85.112.20","elite","AS270540","BR","WEBNET Telecom","229","WEBNET Telecom","7497","socks5","65","1","2023-01-15T11:08:06.210Z","99","753","757"
"41.191.203.89","elite","AS37057","LS","ENTERPRISE","194","N/A","5678","socks4","44","1","2023-01-15T11:08:06.875Z","100","822","824"
"181.129.52.154","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","144","EPM Telecomunicaciones S.A. E.S.P","42648","http","39","293","2023-01-15T11:08:06.223Z","98","705","719"
"43.153.81.168","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","152","Tencent Cloud Computing","443","socks4","41","1","2023-01-15T11:08:05.585Z","59","468","795"
"102.164.16.148","elite","AS328341","ZA","Capricom","238","N/A","5678","socks4","49","2","2023-01-15T11:08:05.637Z","88","644","728"
"58.59.60.94","elite","AS4134","CN","Chinanet","186","Chinanet SD","10800","socks4","36","6","2023-01-15T11:08:05.428Z","97","741","762"
"143.244.140.236","elite","AS14061","IN","DigitalOcean, LLC","155","DigitalOcean, LLC","8444","socks4","46","1","2023-01-15T11:08:05.070Z","100","764","765"
"186.251.255.245","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","216","Seanet Telecom Carazinho Eireli","31337","socks4","53","1","2023-01-15T11:08:05.634Z","100","816","818"
"201.144.20.231","elite","AS8151","MX","Uninet S.A. de C.V","173","Gestión de direccionamiento UniNet","5678","socks4","48","1","2023-01-15T11:08:05.635Z","98","824","838"
"93.171.241.18","elite","AS8870","UA","tom nets","39","Campus City Ltd","1080","socks4","51","1","2023-01-15T11:08:05.002Z","100","837","837"
"177.128.44.129","elite","AS262605","BR","BRASIL TECNOLOGIA E PARTICIPACOES S/A","244","BRASIL TECNOLOGIA E PARTICIPACOES S/A","31337","socks4","66","1","2023-01-15T11:08:05.602Z","100","826","827"
"177.155.130.97","elite","AS53062","BR","Ggnet Telecom Backbone","208","Ggnet Telecom Backbone","5678","socks4","68","1","2023-01-15T11:08:05.635Z","99","729","735"
"206.189.149.96","elite","AS14061","SG","DigitalOcean, LLC","156","DigitalOcean, LLC","1080","socks5","46","1","2023-01-15T11:08:05.138Z","77","597","779"
"218.21.78.35","elite","AS4134","CN","China Telecom","234","N/A","4145","socks4","132","2","2023-01-15T11:08:05.341Z","93","704","759"
"91.232.105.105","elite","AS49981","NL","WorldStream B.V.","14","WorldStream B.V","32913","socks5","77","1","2023-01-15T11:08:05.989Z","99","768","777"
"201.184.155.20","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","144","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","38","1","2023-01-15T11:08:05.643Z","90","738","820"
"189.22.78.34","elite","AS4230","BR","Claro S.A","247","Hotelaria Accor Brasil S/A","4153","socks4","65","1","2023-01-15T11:08:04.228Z","99","831","837"
"45.114.144.199","elite","AS55507","IN","Tejays Dynamic Limited","221","Tejays Dynamic Ltd","32434","socks4","54","1","2023-01-15T11:08:04.227Z","73","536","738"
"5.202.151.92","elite","AS49100","IR","PTS-Network","123","N/A","80","socks5","37","1","2023-01-15T11:08:04.492Z","91","701","773"
"36.95.122.51","elite","AS7713","ID","PT. Telekomunikasi Indonesia","196","Telekomunikasi Indonesia","5678","socks4","129","1","2023-01-15T11:08:04.766Z","92","669","724"
"27.106.84.186","elite","AS45194","IN","Syscon Infoway Pvt. Ltd","119","Syscon Infoway Pvt. Ltd.","4153","socks4","135","1","2023-01-15T11:08:04.552Z","99","829","838"
"171.97.40.215","elite","AS17552","TH","True Internet Corporation CO. Ltd.","191","Truenet Hisp","8080","socks4","62","1","2023-01-15T11:08:04.915Z","89","652","734"
"80.26.55.178","elite","AS3352","ES","TDENET (Red de servicios IP)","31","N/A","5678","socks4","48","1","2023-01-15T11:08:04.558Z","100","761","762"
"202.129.52.173","elite","AS9931","TH","CAT Telecom Public Company Limited","185","CAT Northeast","4153","socks4","155","1","2023-01-15T11:08:04.159Z","99","811","818"
"102.66.231.64","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","227","Herotel","5678","socks4","97","1","2023-01-15T11:08:04.181Z","46","342","742"
"183.89.9.20","elite","AS45629","TH","Triple T Broadband Public Company Limited","157","Triple T Broadband Public Company Limited","4153","socks4","49","1","2023-01-15T11:08:04.526Z","98","772","790"
"114.116.96.118","elite","AS23724","CN","IDC, China Telecommunications Corporation","161","Huawei Public Cloud Service","2080","socks5","55","1","2023-01-15T11:08:04.149Z","98","764","776"
"45.112.125.62","elite","AS58369","ID","FIBERNET","165","N/A","4145","socks4","67","1","2023-01-15T11:08:04.218Z","100","836","839"
"157.245.1.59","elite","AS14061","US","DigitalOcean, LLC","81","DigitalOcean, LLC","57998","socks5","63","1","2023-01-15T11:08:04.501Z","99","787","792"
"190.13.147.93","elite","AS14117","CL","Telefonica del Sur S.A.","210","Telefonica del Sur S.A","5678","socks4","111","1","2023-01-15T11:08:04.180Z","96","749","777"
"172.104.154.229","elite","AS63949","DE","Linode, LLC","10","Linode","1082","socks5","119","1","2023-01-15T11:08:04.539Z","100","776","776"
"201.147.86.225","elite","AS8151","MX","Uninet S.A. de C.V","164","Gestión de direccionamiento UniNet","3128","socks4","120","1","2023-01-15T11:08:03.174Z","100","816","820"
"202.124.43.174","elite","AS9902","KH","NeocomISP Limited","211","NeocomISP Limited","4145","socks4","137","1","2023-01-15T11:08:03.559Z","99","829","837"
"200.108.196.108","elite","AS20255","UY","Tecnowind S.A.","231","Tecnowind S.A","4145","socks4","107","1","2023-01-15T11:08:03.005Z","98","821","835"
"1.4.195.114","elite","AS23969","TH","TOT Public Company Limited","158","TOT Public Company Limited","4145","socks4","38","1","2023-01-15T11:08:03.573Z","100","837","838"
"45.122.44.2","elite","AS38571","IN","Channel9 Cable Network","142","N/A","5678","socks4","58","1","2023-01-15T11:08:03.087Z","99","830","837"
"103.47.93.25","elite","AS134058","IN","Broban Internet Services Pvt.ltd","221","Broban  PVT Ltd.","1080","socks4","71","1","2023-01-15T11:08:03.739Z","100","795","797"
"185.169.181.15","elite","AS34984","TR","Ates Dc","55","Ibrahim MALA trading as Ates Dc","4145","socks4","53","1","2023-01-15T11:08:03.560Z","100","823","823"
